year,equity,bond
1924,0.223111,0.176856
1925,-0.167326,0.162070
1926,0.024261,-0.003393
1927,0.044565,0.008216
1928,0.024070,-0.006649
1929,0.268734,-0.027507
1930,-0.263253,-0.013645
1931,-0.001626,0.086140
1932,-0.157375,0.110928
1933,0.044394,-0.041448
1934,-0.021999,-0.017150
1935,-0.274971,0.036154
1936,0.108593,-0.005946
1937,0.443200,-0.056103
1938,-0.211563,-0.042415
1939,-0.197888,0.090209
1940,0.144717,0.041804
1941,0.161378,-0.023623
1942,0.128050,-0.077169
1943,0.262007,0.045599
1944,-0.154075,0.052624
1945,-0.113937,0.012399
1946,0.024925,0.159435
1947,0.304422,0.066900
1948,0.192085,-0.001994
1949,-0.046305,0.030894
1950,0.342313,0.071130
1951,0.482232,-0.004553
1952,-0.011122,-0.072226
1953,0.155683,-0.099013
1954,-0.171821,0.003747
1955,-0.047375,0.062281
1956,0.194271,0.058369
1957,0.091090,0.012212
1958,0.090061,0.029103
1959,-0.011280,-0.068620
1960,-0.119699,-0.024377
1961,0.277752,0.033580
1962,0.128590,0.011563
1963,0.185239,-0.033087
1964,0.057851,-0.001002
1965,-0.071227,-0.071548
1966,-0.061224,-0.043052
1967,0.123050,0.043173
1968,0.138234,-0.001067
1969,0.129083,0.054328
1970,-0.050264,0.033109
1971,0.128692,0.003044
1972,0.360991,0.191018
1973,-0.164030,-0.084356
1974,0.313551,0.121794
1975,-0.023494,0.117937
1976,0.030582,-0.099951
1977,0.328404,-0.091503
1978,-0.162909,0.027917
1979,0.061514,-0.016695
1980,0.006705,0.015183
1981,0.149251,0.081926
1982,-0.035237,-0.068828
1983,0.169834,-0.010371
1984,0.111884,0.163800
1985,-0.273007,-0.052103
1986,0.052335,0.042562
1987,0.080548,-0.000034
1988,0.348829,0.114169
1989,0.181335,-0.020723
1990,0.064092,-0.065101
1991,0.305987,0.134283
1992,-0.112312,0.006345
1993,-0.076090,0.070696
1994,0.046681,0.086825
1995,-0.080222,0.130753
1996,-0.429951,0.109747
1997,0.181628,0.119513
1998,0.263267,0.035564
1999,-0.119715,0.038942
2000,-0.043072,-0.053535
2001,0.286805,0.050798
2002,0.159041,-0.019717
2003,0.129230,-0.006194
2004,0.045314,0.105068
2005,0.245257,0.125685
2006,-0.181718,-0.121225
2007,0.115954,0.001175
2008,0.169473,-0.083525
2009,0.074178,-0.027453
2010,0.149024,0.023307
2011,0.063965,-0.020467
2012,-0.060058,0.025260
2013,0.116244,0.130483
2014,-0.173669,0.014868
2015,0.322292,0.033730
2016,-0.038563,-0.005523
2017,0.110099,0.084714
2018,0.224211,0.007925
2019,0.245482,-0.005794
2020,0.067455,0.004938
2021,-0.040970,-0.018026
2022,0.098208,-0.025207
2023,-0.112413,-0.033854
